UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode,Breed_v4,DogSize_v4,DogType_v4,ZipCode_v4,GeoPoint_v4
"4,January 08 2018,DOG,Mixed/Other,4,M,FALSE,Brooklyn,""11231"",MIXED BREED,unknown,unknown,11231,""40.67767, -74.00465"""
"6,January 03 2018,DOG,BASENJI,4,M,FALSE,Brooklyn,""11231"",BASENJI,small-medium,hunting,11231,""40.67767, -74.00465"""
"9,January 04 2018,DOG,American Pit Bull Mix / Pit Bull Mix,5,M,FALSE,Brooklyn,""11235"",American Pit Bull Terrier Mix,medium,terrier,11235,""40.58402, -73.9488"""
"10,January 10 2018,DOG,MIXED,3,F,FALSE,Brooklyn,""11208"",MIXED BREED,unknown,unknown,11208,""40.66855, -73.87103"""
"12,January 07 2018,DOG,Yorkshire Terrier Crossbreed,7,M,TRUE,Brooklyn,""11208"",YORKSHIRE TERRIER MIX,small,terrier,11208,""40.66855, -73.87103"""
"13,January 06 2018,DOG,GREAT DANE,6,F,TRUE,Brooklyn,,GREAT DANE,very large,guardian,NULL,""NULL"""
"15,January 09 2018,DOG,LABRADOODLE,5,F,TRUE,Brooklyn,""11238"",LABRADOODLE,medium-large,companion,11238,""40.67913, -73.96384"""
"19,January 13 2018,DOG,MIXED,7,M,FALSE,Brooklyn,""11237"",MIXED BREED,unknown,unknown,11237,""40.70429, -73.92107"""
"21,January 15 2018,DOG,""Poodle, Miniature"",8,M,TRUE,Brooklyn,""11217"",POODLE Miniature,small,companion,11217,""40.68259, -73.97928"""
"22,January 13 2018,DOG,American Pit Bull Terrier/Pit Bull,11,F,TRUE,Brooklyn,""11236"",American Pit Bull Terrier Mix,medium,terrier,11236,""40.63958, -73.90107"""
"26,January 18 2018,DOG,Pekingese,3,M,TRUE,Brooklyn,""11220"",PEKINGESE,small,Toy dog,11220,""40.64115, -74.01651"""
"27,January 08 2018,DOG,POODLE MIX,13,M,TRUE,Brooklyn,""11215"",POODLE MIX,medium,companion,11215,""40.6626, -73.98678"""
"28,January 18 2018,DOG,Labrador Retriever Crossbreed,11,M,TRUE,Brooklyn,""11214"",Labrador Retriever MIX,medium-large,hunting,11214,""40.59866, -73.99636"""
"29,January 18 2018,DOG,American Pit Bull Terrier/Pit Bull,2,F,TRUE,Brooklyn,""11230"",American Pit Bull Terrier Mix,medium,terrier,11230,""40.62214, -73.96506"""
"30,January 17 2018,DOG,DACHSHUND SMOOTH COAT,2,M,FALSE,Brooklyn,""11211"",DACHSHUND LH,small,hunting,11211,""40.71244, -73.95299"""
"32,January 21 2018,DOG,,2,M,TRUE,Brooklyn,""11231"",UNKNOWN,unknown,unknown,11231,""40.67767, -74.00465"""
"35,January 23 2018,DOG,CHIHUAHUA,4,M,FALSE,Brooklyn,""11205"",CHIHUAHUA,small,Toy dog,11205,""40.69468, -73.96613"""
"39,January 28 2018,DOG,Pug,8,M,TRUE,Brooklyn,""11223"",PUG,small,companion,11223,""40.59715, -73.97359"""
"42,January 29 2018,DOG,Mixed/Other,7,F,FALSE,Brooklyn,""11232"",MIXED BREED,unknown,unknown,11232,""40.65632, -74.00563"""
"44,January 28 2018,DOG,MINATURE PINSCHER,8,M,FALSE,Brooklyn,""11214"",MINI PINCHER,small,companion,11214,""40.59866, -73.99636"""
"45,February 01 2018,DOG,TERRIER CROSS,4,M,FALSE,Brooklyn,""11233"",TERRIER MIX,medium,terrier,11233,""40.6783, -73.91995"""
"47,February 01 2018,DOG,DACHSHUND,10,M,FALSE,Brooklyn,,DACHSHUND,small,hunting,NULL,""NULL"""
"48,January 29 2018,DOG,AMERICAN STAFFORDSHIRE TERRIER MIX,3,M,TRUE,Brooklyn,""11201"",AMERICAN STAFFORDSHIRE TERRIER MIX,large,terrier,11201,""40.69463, -73.98972"""
"51,February 05 2018,DOG,GERMAN SHEPHERD,1,M,FALSE,Brooklyn,""11236"",GERMAN SHEPHERD,large,working dog,11236,""40.63958, -73.90107"""
"55,January 29 2018,DOG,MIXED,5,M,FALSE,Brooklyn,""11236"",MIXED BREED,unknown,unknown,11236,""40.63958, -73.90107"""
"58,February 09 2018,DOG,CHIHUAHUA,9,M,FALSE,Brooklyn,""11233"",CHIHUAHUA,small,Toy dog,11233,""40.6783, -73.91995"""
"59,February 07 2018,DOG,American Pit Bull Terrier/Pit Bull,2,M,FALSE,Brooklyn,""11216"",American Pit Bull Terrier Mix,medium,terrier,11216,""40.68075, -73.94937"""
"61,February 05 2018,DOG,American Pit Bull Mix / Pit Bull Mix,6,M,FALSE,Brooklyn,""11234"",American Pit Bull Terrier Mix,medium,terrier,11234,""40.60602, -73.91071"""
"62,February 12 2018,DOG,GERMAN SHEPHERD,3,M,FALSE,Brooklyn,""11235"",GERMAN SHEPHERD,large,working dog,11235,""40.58402, -73.9488"""
"64,February 10 2018,DOG,LABARADOR RETRIEVER,5,M,TRUE,Brooklyn,""11239"",LABARADOR RETRIEVER,medium-large,hunting,11239,""40.64844, -73.87969"""
"66,February 16 2018,DOG,SHIH TZU,9,M,FALSE,Brooklyn,""11236"",SHIH TZU,small,Toy dog,11236,""40.63958, -73.90107"""
"67,February 14 2018,DOG,CANE CORSO/BLUE NOSED PIT BULLX,10,M,FALSE,Brooklyn,""11216"",CANE CORSO MIX,very large,guardian,11216,""40.68075, -73.94937"""
"68,February 18 2018,DOG,POMERANIAN MIX,8,M,FALSE,Brooklyn,,POMERANIAN MIX,small,companion,NULL,""NULL"""
"70,February 20 2018,DOG,BORDER COLLIE MIX,3,F,FALSE,Brooklyn,""11216"",BORDER COLLIE MIX,medium,herding dog,11216,""40.68075, -73.94937"""
"71,February 16 2018,DOG,Beagle Crossbreed,4,F,TRUE,Brooklyn,""11209"",BEAGLE MIX,medium,hunting,11209,""40.62194, -74.03009"""
"72,February 19 2018,DOG,American Pit Bull Mix / Pit Bull Mix,2,M,FALSE,Brooklyn,""11212"",American Pit Bull Terrier Mix,medium,terrier,11212,""40.66293, -73.91303"""
"73,February 17 2018,DOG,POODLE MIX,4,M,TRUE,Brooklyn,""11230"",POODLE MIX,medium,companion,11230,""40.62214, -73.96506"""
"75,February 17 2018,DOG,MIXED BREED,2,F,TRUE,Brooklyn,""11201"",MIXED BREED,unknown,unknown,11201,""40.69463, -73.98972"""
"77,February 07 2018,DOG,Labrador Retriever Crossbreed,4,F,TRUE,Brooklyn,""11219"",Labrador Retriever MIX,medium-large,hunting,11219,""40.63267, -73.99669"""
"78,February 09 2018,DOG,CHIHUAHUA,7,M,TRUE,Brooklyn,""11214"",CHIHUAHUA,small,Toy dog,11214,""40.59866, -73.99636"""
"79,February 22 2018,DOG,American Pit Bull Terrier/Pit Bull,2,F,FALSE,Brooklyn,""11233"",American Pit Bull Terrier Mix,medium,terrier,11233,""40.6783, -73.91995"""
"80,February 24 2018,DOG,PITBULL,3,F,TRUE,Brooklyn,""11236"",PIT BULL,medium,terrier,11236,""40.63958, -73.90107"""
"83,February 25 2018,DOG,PITBULL,3,M,FALSE,Brooklyn,""11218"",PIT BULL,medium,terrier,11218,""40.64346, -73.97611"""
"84,February 26 2018,DOG,MINI PINSCHER/POMERANIAN X,8,M,TRUE,Brooklyn,""11214"",MINI PINSCHER MIX,small,companion,11214,""40.59866, -73.99636"""
"85,February 27 2018,DOG,PITBULL,3,F,FALSE,Brooklyn,""11208"",PIT BULL,medium,terrier,11208,""40.66855, -73.87103"""
"86,February 26 2018,DOG,""Poodle, Standard"",5,F,FALSE,Brooklyn,""11220"",POODLE,medium,companion,11220,""40.64115, -74.01651"""
"88,February 26 2018,DOG,LABRADOODLE,8,M,TRUE,Brooklyn,""11201"",LABRADOODLE,medium-large,companion,11201,""40.69463, -73.98972"""
"90,March 03 2018,DOG,Australian Silky Terrier,6,M,TRUE,Brooklyn,""11208"",Australian Silky Terrier,small,terrier,11208,""40.66855, -73.87103"""
"91,March 02 2018,DOG,Cocker Spaniel,2,M,FALSE,Brooklyn,""11209"",COCKER SPANIEL,small-medium,hunting,11209,""40.62194, -74.03009"""
"93,March 04 2018,DOG,SIBERIAN HUSKY,5,F,TRUE,Brooklyn,""11234"",SIBERIAN HUSKY,medium,sled dog,11234,""40.60602, -73.91071"""
"94,March 05 2018,DOG,MIXED BREED,3,M,FALSE,Brooklyn,""11225"",MIXED BREED,unknown,unknown,11225,""40.66304, -73.95431"""
"95,March 04 2018,DOG,American Pit Bull Mix / Pit Bull Mix,4,M,TRUE,Brooklyn,,American Pit Bull Terrier Mix,medium,terrier,NULL,""NULL"""
"96,February 28 2018,DOG,SHEPHERD/POINTER X,1,M,TRUE,Brooklyn,""11209"",SHEPHERD MIX,medium-large,herding dog,11209,""40.62194, -74.03009"""
"100,March 06 2018,DOG,MIXED BREED,13,M,TRUE,Brooklyn,""11229"",MIXED BREED,unknown,unknown,11229,""40.60083, -73.94401"""
"101,March 03 2018,DOG,TERRIER MIX,5,M,FALSE,Brooklyn,""11234"",TERRIER MIX,medium,terrier,11234,""40.60602, -73.91071"""
"105,March 11 2018,DOG,PITBULL,2,F,TRUE,Brooklyn,""11234"",PIT BULL,medium,terrier,11234,""40.60602, -73.91071"""
"106,March 12 2018,DOG,SIBERIAN HUSKY,2,M,FALSE,Brooklyn,""11219"",SIBERIAN HUSKY,medium,sled dog,11219,""40.63267, -73.99669"""
