UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
4,January 08 2018,DOG,Mixed/Other,4,M,FALSE,Brooklyn,11231
6,January 03 2018,DOG,BASENJI,4,M,FALSE,Brooklyn,11231
9,January 04 2018,DOG,American Pit Bull Mix / Pit Bull Mix,5,M,FALSE,Brooklyn,11235
10,January 10 2018,DOG,MIXED,3,F,FALSE,Brooklyn,11208
12,January 07 2018,DOG,Yorkshire Terrier Crossbreed,7,M,TRUE,Brooklyn,11208
13,January 06 2018,DOG,Great Dane,6,F,TRUE,Brooklyn,
15,January 09 2018,DOG,Labradoodle,5,F,TRUE,Brooklyn,11238
19,January 13 2018,DOG,MIXED,7,M,FALSE,Brooklyn,11237
21,January 15 2018,DOG,"Poodle, Miniature",8,M,TRUE,Brooklyn,11217
22,January 13 2018,DOG,American Pit Bull Terrier/Pit Bull,11,F,TRUE,Brooklyn,11236
26,January 18 2018,DOG,Pekingese,3,M,TRUE,Brooklyn,11220
27,January 08 2018,DOG,POODLE X,13,M,TRUE,Brooklyn,11215
28,January 18 2018,DOG,Labrador Retriever Crossbreed,11,M,TRUE,Brooklyn,11214
29,January 18 2018,DOG,American Pit Bull Terrier/Pit Bull,2,F,TRUE,Brooklyn,11230
30,January 17 2018,DOG,Dachshund Smooth Coat,2,M,FALSE,Brooklyn,11211
32,January 21 2018,DOG,,2,M,TRUE,Brooklyn,11231
35,January 23 2018,DOG,Chihuahua,4,M,FALSE,Brooklyn,11205
39,January 28 2018,DOG,Pug,8,M,TRUE,Brooklyn,11223
42,January 29 2018,DOG,Mixed/Other,7,F,FALSE,Brooklyn,11232
44,January 28 2018,DOG,MINATURE PINSCHER X,8,M,FALSE,Brooklyn,11214
45,February 01 2018,DOG,TERRIER CROSS,4,M,FALSE,Brooklyn,11233
47,February 01 2018,DOG,"Dachshund, Wirehaired, Miniature",10,M,FALSE,Brooklyn,
48,January 29 2018,DOG,AMERICAN STAFF X,3,M,TRUE,Brooklyn,11201
51,February 05 2018,DOG,German Shepherd,1,M,FALSE,Brooklyn,11236
55,January 29 2018,DOG,MIXED,5,M,FALSE,Brooklyn,11236
58,February 09 2018,DOG,Chihuahua,9,M,FALSE,Brooklyn,11233
59,February 07 2018,DOG,American Pit Bull Terrier/Pit Bull,2,M,FALSE,Brooklyn,11216
61,February 05 2018,DOG,American Pit Bull Mix / Pit Bull Mix,6,M,FALSE,Brooklyn,11234
62,February 12 2018,DOG,German Shepherd,3,M,FALSE,Brooklyn,11235
64,February 10 2018,DOG,Labrador Retriever,5,M,TRUE,Brooklyn,11239
66,February 16 2018,DOG,SHIH TZU X,9,M,FALSE,Brooklyn,11236
67,February 14 2018,DOG,CANE CORSO/BLUE NOSED PIT BULLX,10,M,FALSE,Brooklyn,11216
68,February 18 2018,DOG,POMERANIAN MIX,8,M,FALSE,Brooklyn,
70,February 20 2018,DOG,BORDER COLLIE MIX,3,F,FALSE,Brooklyn,11216
71,February 16 2018,DOG,Beagle Crossbreed,4,F,TRUE,Brooklyn,11209
72,February 19 2018,DOG,American Pit Bull Mix / Pit Bull Mix,2,M,FALSE,Brooklyn,11212
73,February 17 2018,DOG,POODLE MIX,4,M,TRUE,Brooklyn,11230
75,February 17 2018,DOG,MIXED BREED,2,F,TRUE,Brooklyn,11201
77,February 07 2018,DOG,Labrador Retriever Crossbreed,4,F,TRUE,Brooklyn,11219
78,February 09 2018,DOG,Chihuahua,7,M,TRUE,Brooklyn,11214
79,February 22 2018,DOG,American Pit Bull Terrier/Pit Bull,2,F,FALSE,Brooklyn,11233
80,February 24 2018,DOG,Pit Bull,3,F,TRUE,Brooklyn,11236
83,February 25 2018,DOG,Pit Bull,3,M,FALSE,Brooklyn,11218
84,February 26 2018,DOG,MINI PINSCHER/POMERANIAN X,8,M,TRUE,Brooklyn,11214
85,February 27 2018,DOG,Pit Bull,3,F,FALSE,Brooklyn,11208
86,February 26 2018,DOG,"Poodle, Standard",5,F,FALSE,Brooklyn,11220
88,February 26 2018,DOG,Labradoodle,8,M,TRUE,Brooklyn,11201
90,March 03 2018,DOG,Australian Silky Terrier,6,M,TRUE,Brooklyn,11208
91,March 02 2018,DOG,Cocker Spaniel,2,M,FALSE,Brooklyn,11209
93,March 04 2018,DOG,Siberian Husky,5,F,TRUE,Brooklyn,11234
94,March 05 2018,DOG,MIXED BREED,3,M,FALSE,Brooklyn,11225
95,March 04 2018,DOG,American Pit Bull Mix / Pit Bull Mix,4,M,TRUE,Brooklyn,
96,February 28 2018,DOG,SHEPHERD/POINTER X,1,M,TRUE,Brooklyn,11209
100,March 06 2018,DOG,MIXED BREED,13,M,TRUE,Brooklyn,11229
101,March 03 2018,DOG,TERRIER MIX,5,M,FALSE,Brooklyn,11234
105,March 11 2018,DOG,Pit Bull,2,F,TRUE,Brooklyn,11234
106,March 12 2018,DOG,Siberian Husky,2,M,FALSE,Brooklyn,11219
107,March 11 2018,DOG,Pit Bull,0.33,F,FALSE,Brooklyn,11231
108,March 09 2018,DOG,Labrador Retriever,0.19,M,FALSE,Brooklyn,11222
109,March 15 2018,DOG,Beagle,7,M,TRUE,Brooklyn,11220
111,March 17 2018,DOG,Rottweiler,4,M,TRUE,Brooklyn,11206
112,March 17 2018,DOG,Labrador Retriever Crossbreed,2,M,TRUE,Brooklyn,11223
113,March 18 2018,DOG,American Pit Bull Mix / Pit Bull Mix,3,M,FALSE,Brooklyn,11216
114,March 18 2018,DOG,MIXED BREED,11,F,FALSE,Brooklyn,11211
115,March 18 2018,DOG,MIXED BREED,9,U,FALSE,Brooklyn,11208
116,March 17 2018,DOG,MIXED BREED,2,F,FALSE,Brooklyn,11203
117,March 11 2018,DOG,MIXED BREED,6,F,TRUE,Brooklyn,11206
121,March 21 2018,DOG,Maltese,0.625,F,FALSE,Brooklyn,11216
122,March 11 2018,DOG,Lhasa Apso,1,M,FALSE,Brooklyn,11226
123,March 26 2018,DOG,CORGI-CHIHUAHUA X,11,M,TRUE,Brooklyn,11225
124,March 22 2018,DOG,Puggle,9,M,FALSE,Brooklyn,11204
125,March 25 2018,DOG,ENGLISH STAFFORDSHIRE TERRIER,1,M,TRUE,Brooklyn,11215
126,March 23 2018,DOG,MIXED BREED,8,M,TRUE,Brooklyn,11218
129,March 23 2018,DOG,Shih Tzu,13,F,FALSE,Brooklyn,11209
134,March 28 2018,DOG,American Pit Bull Mix / Pit Bull Mix,4,F,TRUE,Brooklyn,11221
135,March 29 2018,DOG,Shih Tzu,2,F,FALSE,Brooklyn,11237
136,March 30 2018,DOG,BICHON / POODLE MIX,11,M,FALSE,Brooklyn,11226
138,March 31 2018,DOG,Maltese,11,M,TRUE,Brooklyn,11215
139,April 04 2018,DOG,MIXED BREED,4,F,FALSE,Brooklyn,11208
140,March 31 2018,DOG,MALTESE/ SHIH TZU X,3,M,FALSE,Brooklyn,11234
141,March 31 2018,DOG,SIBERIAN HUSKY X,4,M,FALSE,Brooklyn,11214
142,April 04 2018,DOG,MIXED BREED,10,M,FALSE,Brooklyn,11207
143,April 04 2018,DOG,MIXED BREED,10,M,FALSE,Brooklyn,11207
144,April 03 2018,DOG,MIXED BREED,3,M,FALSE,Brooklyn,11237
145,April 04 2018,DOG,MIXED BREED,3,M,FALSE,Brooklyn,11237
146,March 29 2018,DOG,MIXED BREED,4,M,FALSE,Brooklyn,11216
147,April 04 2018,DOG,MIXED BREED,4,M,FALSE,Brooklyn,11216
148,April 08 2018,DOG,MIXED BREED,2,M,FALSE,Brooklyn,11249
149,April 08 2018,DOG,MIXED BREED,2,M,FALSE,Brooklyn,11249
150,April 07 2018,DOG,Akita,4,M,FALSE,Brooklyn,11207
151,April 08 2018,DOG,SHIH TZU X,3,M,FALSE,Brooklyn,
152,April 08 2018,DOG,RAT TERRIER MIX,1,U,TRUE,Brooklyn,11211
153,April 09 2018,DOG,BOSTON TERRIER/CHIHUAHUA,6,F,TRUE,Brooklyn,11201
154,April 09 2018,DOG,German Shepherd Crossbreed,3,M,TRUE,Brooklyn,11221
157,April 08 2018,DOG,MIXED BREED,3,M,TRUE,Brooklyn,11238
158,April 09 2018,DOG,Siberian Husky,1,M,TRUE,Brooklyn,11238
159,April 10 2018,DOG,Shih Tzu,6,M,TRUE,Brooklyn,
161,April 10 2018,DOG,Maltese,10,F,TRUE,Brooklyn,11223
162,April 02 2018,DOG,MIXED,6,F,TRUE,Brooklyn,11218
163,April 08 2018,DOG,Yorkshire Terrier Crossbreed,6,M,FALSE,Brooklyn,11221
165,April 07 2018,DOG,American Pit Bull Terrier/Pit Bull,1,M,FALSE,Brooklyn,11230
166,April 14 2018,DOG,Cane Corso,9,F,FALSE,Brooklyn,11234
167,April 16 2018,DOG,Dachshund Smooth Coat,12,F,TRUE,Brooklyn,11249
168,April 16 2018,DOG,Rottweiler,2,M,TRUE,Brooklyn,11208
171,April 10 2018,DOG,MALTESE/ SHIH TZU,1,M,TRUE,Brooklyn,11201
174,April 18 2018,DOG,MIXED,2,M,FALSE,Brooklyn,11236
176,April 19 2018,DOG,American Pit Bull Mix / Pit Bull Mix,5,M,FALSE,Brooklyn,11206
177,April 21 2018,DOG,American Pit Bull Mix / Pit Bull Mix,3,M,FALSE,Brooklyn,11231
178,April 23 2018,DOG,Shih Tzu,7,M,FALSE,Brooklyn,11229
180,April 23 2018,DOG,MIXED,8,M,FALSE,Brooklyn,11208
183,April 23 2018,DOG,German Shepherd,2,M,TRUE,Brooklyn,11230
184,April 24 2018,DOG,German Shepherd Crossbreed,8,M,TRUE,Brooklyn,11226
193,April 02 2018,DOG,LHASA APSO/POODLE X,5,F,TRUE,Brooklyn,11210
195,April 27 2018,DOG,MIXED BREED,5,M,FALSE,Brooklyn,11203
196,April 25 2018,DOG,ASIAN SHEPERD,2,M,TRUE,Brooklyn,11204
197,May 01 2018,DOG,German Shepherd,9,M,TRUE,Brooklyn,11230
198,April 29 2018,DOG,MIXED,2,F,TRUE,Brooklyn,11232
200,April 14 2018,DOG,Mixed/Other,4,M,FALSE,Brooklyn,
201,May 01 2018,DOG,Golden Retriever,1,M,FALSE,Brooklyn,11230
202,May 02 2018,DOG,American Pit Bull Mix / Pit Bull Mix,4,F,FALSE,Brooklyn,11220
204,May 02 2018,DOG,Labrador Retriever Crossbreed,5,M,TRUE,Brooklyn,11222
210,May 04 2018,DOG,Yorkshire Terrier,15,M,TRUE,Brooklyn,11214
211,May 07 2018,DOG,PIT BULL/LAB X,8,F,FALSE,Brooklyn,11203
213,May 07 2018,DOG,Yorkshire Terrier,1,F,FALSE,Brooklyn,11207
216,May 08 2018,DOG,Rottweiler,1,M,TRUE,Brooklyn,11236
217,May 01 2018,DOG,German Shepherd Crossbreed,15,M,TRUE,Brooklyn,11238
221,May 09 2018,DOG,AUSTRALIAN CATTLEDOG,6,F,TRUE,Brooklyn,11226
222,May 10 2018,DOG,Yorkshire Terrier Crossbreed,7,F,FALSE,Brooklyn,11205
225,May 14 2018,DOG,Beagle Crossbreed,4,M,TRUE,Brooklyn,11225
226,May 12 2018,DOG,"Bull Dog, French",2,M,TRUE,Brooklyn,11235
227,May 15 2018,DOG,MIXED BREED,8,M,FALSE,Brooklyn,11208
232,April 17 2018,DOG,Cane Corso,1,F,FALSE,Brooklyn,11236
233,May 17 2018,DOG,Labrador Retriever Crossbreed,3,M,TRUE,Brooklyn,11201
235,May 20 2018,DOG,MIXED BREED,1,M,FALSE,Brooklyn,11236
238,May 20 2018,DOG,American Pit Bull Terrier/Pit Bull,4,F,FALSE,Brooklyn,11221
243,May 23 2018,DOG,Cocker Spaniel,6,F,FALSE,Brooklyn,11224
245,May 24 2018,DOG,CHOW CHOW X,4,F,TRUE,Brooklyn,11217
246,May 24 2018,DOG,CHOW CHOW X,4,F,TRUE,Brooklyn,11217
247,May 28 2018,DOG,LARGE MIXED BREED,6,F,FALSE,Brooklyn,11216
250,May 26 2018,DOG,AMERICAN BULLY,1,M,FALSE,Brooklyn,11208
253,May 24 2018,DOG,MIXED BREED,1,M,FALSE,Brooklyn,11216
254,May 27 2018,DOG,Golden Retriever,8,F,FALSE,Brooklyn,
